compartment_id,detector_id,detector_rule_id,id,labels0,lifecycle_detail,lifecycle_state,locks,region,resource_id,resource_name,resource_type,risk_level,risk_score,target_id,time_first_detected,time_last_detected,comment,description,recommendation
ocid1.compartment.oc1..aaaaaaaa5aw6zibt4pcsxvjlnow3auyylklzbpvlwwfxjetyux7ujmuqljaa;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcqpbixjiqony6xd6hpqajoxurjglcm45p5jtykjnh5xnvq;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrxewgzqvrucl3xqcrjps3ydlhmkw6kkwyvs2rjyfs65svrfd3paca;TEC-SCA-PRO-VMA-O11-009;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-08-15 21:46:48.714000+00:00;2025-09-16 18:03:44.117000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa5aw6zibt4pcsxvjlnow3auyylklzbpvlwwfxjetyux7ujmuqljaa;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcqkgiuq47ay5algcprh7q7m6visbubnuibwetw2gkr7swa;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrtmrbuq66kkz5zzwfxnom6i5ivvasahprbx62qaji3anpdrpgi5zq;TEC-SCA-PRO-VMA-O11-002;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-08-15 21:46:26.140000+00:00;2025-09-16 18:12:58.099000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa5aw6zibt4pcsxvjlnow3auyylklzbpvlwwfxjetyux7ujmuqljaa;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcq5hox4pgy6yppcfs7q5zujlmqiyfqndr3z2hathqls2ha;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrx2nxc56xplzqecogwxmyrnck3vliqbmqgw3vvdpcip56md4thawq;TEC-SCA-PRO-VMA-O11-003;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-08-15 21:46:27.137000+00:00;2025-09-16 17:34:31.468000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa5aw6zibt4pcsxvjlnow3auyylklzbpvlwwfxjetyux7ujmuqljaa;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcql5giecx5wvzozzoi4da6boedczwe2cfjaiomrl7mqnsq;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrals6mzuldl4hc7s2hcwmtwhth7ora5ffvhydcps7ayigu7hzf3zq;TEC-SCA-PRO-VMA-O11-008;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-08-15 21:46:26.903000+00:00;2025-09-16 17:48:20.408000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa5aw6zibt4pcsxvjlnow3auyylklzbpvlwwfxjetyux7ujmuqljaa;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcq6u23ss3ryuyirsgzo6ylmqn5benjzipyoqlbz52rbibq;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrl3jnxzmcp3pr2nmikgv5azt4id3khuqotu5ozp5fitwva74pn3eq;TEC-SCA-PRO-VMA-O11-001;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-08-15 21:46:29.547000+00:00;2025-09-16 18:11:55.613000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaao3jodfosepv3metrhjdmvkqhj62w6szajhgacb3szuyfo67lurkq;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcqi76mizz77652bjkmdg5wbbked6dey2455hq5pwslweua;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrkhxqoxeie6yvrplyqm2nixmi4rh6kqztb4iu5qupxrzves4exhuq;COM-RDD-DES-SDB-O11-001;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-08-28 11:21:32.909000+00:00;2025-09-16 18:07:39.592000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaaht7hzjqy4yohud65nxohksteairjojiqk34ieplfenfg2sdbp4xq;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcqgdlljmbimjgueaubwmbspxt5bpluzpon2hti76nsnmya;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrrht2bjd2kdaf6gjd64tfm7kagevi5kvmi6wz26lpy4pq5z3odx2q;instance-20250819-1852;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-08-19 23:54:56.228000+00:00;2025-09-16 17:36:35.001000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa5aw6zibt4pcsxvjlnow3auyylklzbpvlwwfxjetyux7ujmuqljaa;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcqb6p5luvydy7dk5mqzxnbsroktxqyprh7gk6kukfhrjdq;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrrik4ijufj6kgjiif7gz5rzu4uadsxcqrm32fjqzdjslfoksznlgq;TEC-SCA-PRO-VMA-O11-012;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-09-12 18:30:44.582000+00:00;2025-09-16 18:06:57.863000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa5aw6zibt4pcsxvjlnow3auyylklzbpvlwwfxjetyux7ujmuqljaa;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcqafmmgvpeo242l7urwlig7uuui76vaunjprjebqyfdqfa;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljreqr72bcxmlmg6pxzoe33rhzi6grrerhqbwwh4vtdu4m5ofje7nla;TEC-SCA-PRO-VMA-O11-013;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-09-12 18:31:37.769000+00:00;2025-09-16 17:48:06.388000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa2s7bo2ktt73osenjzsab2uwrk72qj6lmwcr26ncbqquva5xbfl5q;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcqck5sp5yshja7eo3yhze24v44kf6o3up6avr2biz7ryya;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrjgfz66wrk7bdzsmsxvxadsyymom7tsoc55h3fa6vfvs6ocqmtuwq;TEC-SCA-CAL-VMA-O11-011;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-09-12 07:26:25.158000+00:00;2025-09-16 18:03:03.406000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa4fyiek2wytf6acqublcnqbum3j6pekx2u4nivcsgpof2hkmkvapq;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcqk4wacvntd5hoc5yjbi5vr4ugc3zviigccf4evxepctqa;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrxbiqhf2j3qkuzf737a7puq7uvpao66th3t4dutqgqbjtjbp5luca;CRS-UBUNTU-ANSI-011-003;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-08-27 18:17:30.416000+00:00;2025-09-16 18:07:12.571000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa4fyiek2wytf6acqublcnqbum3j6pekx2u4nivcsgpof2hkmkvapq;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcqyywlww2oxcxto7ir5cnm7r4vvft3c4xhknuh6lqlad3q;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrc2x33fqc5qmejyn2ww6uq5cc4sp3rt2jbbrf6iwmsvhxmgv5vw3q;vmpubtest01;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-09-16 15:45:39.742000+00:00;2025-09-16 17:40:26.580000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
ocid1.compartment.oc1..aaaaaaaa5aw6zibt4pcsxvjlnow3auyylklzbpvlwwfxjetyux7ujmuqljaa;IAAS_CONFIGURATION_DETECTOR;VNIC_WITHOUT_NETWORK_SECURITY_GROUP;ocid1.cloudguardproblem.oc1.sa-saopaulo-1.amaaaaaanla7rtcqohlmenaw2uzvlogo6pmhdh6bnluicosx6xx6zsljo5hq;COMPUTE;OPEN;ACTIVE;None;sa-saopaulo-1;ocid1.vnic.oc1.sa-saopaulo-1.abtxeljrirun5iqgq7kaj7qdwnyq66tw4dtktlfovk2cygumdzb57c4hs2mq;TEC-SCA-PRO-VMA-O11-005;Instance;MINOR;None;ocid1.cloudguardtarget.oc1.sa-saopaulo-1.amaaaaaanla7rtaajb2il27ksdnroig647dl76zahnhazxbh5jpf2mcjhp7a;2025-08-15 21:44:53.328000+00:00;2025-09-16 18:06:45.355000+00:00;;A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.;Ensure that the missing NSG association from this VNIC is expected.
